	Protein1	Protein2	spearman_erythrocyte	Spearman_all	Pearson_all
194	Q8I0P6	Q8IM10	0.9285714285714287	0.8507905138339922	0.9950764717927316
195	C6KTA3	Q8IFP3	0.3333333333333334	0.2737154150197629	0.8175537852269793
196	C0H5I7	Q8II24	0.880952380952381	0.7687747035573124	0.9758849898732371
197	A0A5K1K8V8	C0H5C2	0.8571428571428572	0.8013833992094862	0.9768914081973874
198	C0H5C2	Q8IEK3	-0.5714285714285715	0.19071146245059292	0.7899079364873586
199	Q8IBM9	Q8IKW5	0.8333333333333335	0.8527667984189724	0.9890889286044073
200	Q8I323	Q8ILI2	0.09523809523809526	0.5889328063241107	0.8245160363087709
201	C0H5C2	Q8IKW5	0.8333333333333335	0.9466403162055337	0.9837723261299554
202	Q8I6S5	Q8IEA6	0.8333333333333335	0.9387351778656127	0.9159296540669352
203	Q8ILK3	Q8ILL2	1.0	0.9397233201581027	0.9863580909132931
204	Q8IJT1	Q8IKC9	1.0	0.9268774703557312	0.9878944887234116
205	C6KT50	Q8IJI7	0.3333333333333334	0.46640316205533605	0.5274804754665555
206	Q8I0P6	Q8IIM8	-0.19047619047619052	0.6561264822134387	0.9245232902401046
207	K7NTP5	Q8ILL3	0.4523809523809524	0.7055335968379446	0.8655245612978544
208	C0H5C2	Q8IAX6	0.9285714285714287	0.9189723320158102	0.993989360288847
209	Q8IKF0	Q9TY94	0.9285714285714287	0.8379446640316206	0.9859185441012767
210	A0A5K1K8V8	Q8IL58	0.9047619047619048	0.8833992094861661	0.9801249177283534
211	Q8IJV6	Q8IKM5	0.6190476190476191	0.7164031620553359	0.9397728091818321
212	O97282	Q8IFP3	-0.4761904761904762	0.18972332015810275	0.665905407245212
213	Q8ID28	Q8ILL3	0.11904761904761905	0.424901185770751	0.8283934600254848
214	K7NTP5	Q8IL58	0.09523809523809526	0.5464426877470356	0.6850824209835127
215	C6KST3	Q8I0U7	0.9523809523809524	0.8567193675889329	0.9770751073492219
216	C0H4A6	C6KT23	0.9761904761904763	0.9426877470355731	0.9962766273267195
217	Q8IDR9	Q8IIA2	0.9523809523809524	0.5652173913043479	0.9508706530667922
218	C0H5H0	Q8ILP6	0.11904761904761905	0.5513833992094862	0.560806832210935
219	C0H4W2	Q8I3Q7	0.7857142857142858	0.9268774703557312	0.978253272053363
220	Q7KQL9	Q8IJI7	0.04761904761904763	0.44960474308300397	0.9330077683835237
221	Q8I3A4	Q8ILS7	0.8095238095238096	0.8992094861660079	0.8323452309536143
222	Q8I2W3	Q8I3J0	-0.09523809523809526	0.6492094861660079	0.84508915639675
223	Q8I2F2	Q8IBY4	0.6904761904761906	0.6551383399209486	0.22219870588732804
224	Q8ID28	Q8IL58	0.4523809523809524	0.5227272727272728	0.9169686894092144
225	Q8IEK3	Q8IJC6	-0.09523809523809526	0.2806324110671937	0.82914286945841
226	Q8I2F4	Q8IIX5	0.9285714285714287	0.9150197628458498	0.9034291159918604
227	Q8I431	Q8IJV6	0.4761904761904762	0.7934782608695652	0.9636451414675576
228	Q6ZMA7	Q8I2X3	-0.7380952380952381	0.1818181818181818	0.6734905979213625
229	C6KSV3	Q8I566	-0.4285714285714286	-0.12351778656126483	0.643365004678468
230	Q8II61	Q8IIU8	0.7619047619047621	0.9525691699604744	0.9956190088758903
231	Q8I3N3	Q8IL75	0.14285714285714288	0.48122529644268774	0.8460914621832207
232	O96252	Q8IKH8	-0.4047619047619048	-0.024703557312252968	0.7368186721638409
233	C0H4A6	K7NTP5	0.5000000000000001	0.7351778656126482	0.826031248466653
234	C6KT25	Q8I566	0.9047619047619048	0.9219367588932808	0.965476224613723
235	O77396	Q8IK90	0.9523809523809524	0.9407114624505929	0.985193158789695
236	O96252	Q8I3N3	0.523809523809524	0.698616600790514	0.914707264625549
237	C6KT25	Q8IAX5	-0.8571428571428572	-0.21047430830039524	0.6843832610740044
238	A0A144A3N9	C6KTA4	0.3571428571428572	0.7164031620553359	0.717481998661442
239	Q8IBV7	Q8IIV2	0.9047619047619048	0.8685770750988143	0.9442806284609032
240	C0H5I7	C6KST5	0.9285714285714287	0.9041501976284586	0.9944221906045844
241	Q8I4U5	Q8IC05	0.19047619047619052	0.48517786561264825	0.6738168786004166
242	C6KT19	Q8I487	0.6666666666666669	0.23320158102766803	-0.15774467847903006
243	Q8IBN4	Q8II72	0.4047619047619048	0.41106719367588934	0.19645671959326164
244	C0H5H0	C6KST3	0.5000000000000001	0.7786561264822135	0.9318419811575163
245	O96153	Q8IK90	0.880952380952381	0.8794466403162056	0.9872429526815172
246	A0A5K1K8V8	Q8ILL2	0.9761904761904763	0.9486166007905139	0.9951954040755475
247	Q8IDS0	Q8IE84	0.5952380952380953	0.8073122529644269	0.9884039204600629
248	C0H4V6	Q8IE84	0.3571428571428572	0.6037549407114625	0.9897520174340753
249	Q8I3T8	Q8ILL3	0.9047619047619048	0.9426877470355731	0.9922366026685477
250	K7NTP5	Q8ILL2	0.28571428571428575	0.599802371541502	0.7890756045770266
251	O97320	Q8I463	-0.9047619047619048	0.07806324110671936	0.7550353301075451
252	Q8I0P6	Q8IET7	0.880952380952381	0.6175889328063241	0.937570829714261
253	O00806	Q8IL02	0.9761904761904763	0.900197628458498	0.9955492656775546
254	Q76NM6	Q8IE84	0.9047619047619048	0.9150197628458498	0.9980782225039289
255	C6KT23	Q8IJV6	0.3571428571428572	0.8181818181818183	0.9704118110554867
256	Q8I6T3	Q8IJT1	0.9761904761904763	0.9011857707509882	0.9876963406791442
257	C0H5C2	Q8I3R0	0.9523809523809524	0.9634387351778656	0.9930024647746072
258	Q8I3R0	Q8IL02	0.880952380952381	0.9219367588932808	0.9873091946401373
259	C6KT19	Q8ILK3	-0.6666666666666669	0.01482213438735178	0.7855451320484409
260	B9ZSJ2	Q8IIX5	0.6428571428571429	0.08893280632411067	-0.15115975370031934
261	Q8IEA6	Q8II24	0.4285714285714286	0.6205533596837945	0.7794341046427442
262	Q8I2F2	Q8IFM9	-0.8571428571428572	-0.48023715415019763	-0.2762593063439318
263	Q8I463	Q8IBV7	-0.880952380952381	-0.19071146245059292	0.6622044660770259
264	Q8I2X4	Q8IKW5	0.3333333333333334	0.5968379446640316	0.7040604547364678
265	A0A143ZY58	Q8I0P6	0.2142857142857143	0.3270750988142293	0.7199713577572413
266	Q76NM3	Q8I5B6	0.38095238095238104	0.3952569169960475	0.8846401568706437
267	Q8I5H4	Q8IAX8	0.7142857142857144	0.8547430830039526	0.9802353266446812
268	Q8IE10	Q8IIU8	0.7619047619047621	0.8616600790513835	0.9491594944750188
269	Q8IAX8	Q8IBY4	0.6190476190476191	0.9565217391304348	0.9861613130191503
270	Q8IIF0	Q8IJ76	0.0	0.34980237154150196	0.6718859060414453
271	Q8IC43	Q8IIM8	-0.07142857142857144	0.4990118577075099	0.7403297767186782
272	C6KST3	O96220	0.4285714285714286	0.7470355731225298	0.7158418174247902
273	C6KTA3	Q8ILQ7	0.4047619047619048	0.83300395256917	0.9361538552018767
274	Q8I2X4	Q8IAX6	0.2380952380952381	0.6175889328063241	0.7345818432455995
275	Q76NM4	Q8I492	-0.07142857142857144	0.2875494071146245	0.755053491820257
276	C0H5C2	Q8IJX8	0.30952380952380953	0.7737154150197629	0.9630473524489687
277	O97313	Q8IDK7	0.5476190476190477	0.8428853754940712	0.9755646959993028
278	P61074	Q8I3Y6	0.6904761904761906	0.6037549407114625	0.9518607587311296
279	Q8I0V4	Q8IB14	0.5714285714285715	0.5247035573122529	0.9617384751777737
280	O97320	Q7KQL5	0.38095238095238104	0.4871541501976285	0.9399070751213374
281	Q8IJN9	Q8IL11	0.5476190476190477	0.7974308300395258	0.8793837342804708
282	Q8I0P6	Q8I323	0.28571428571428575	0.4011857707509882	0.8237198704520214
283	Q8I0V2	Q8IE84	0.07142857142857144	0.5434782608695652	0.9199664193234665
284	Q8IET7	Q8IKR1	0.3333333333333334	0.5227272727272728	0.8027673550145071
285	A0A5K1K7U1	Q8IDG3	0.9523809523809524	0.974308300395257	0.9854261368831676
286	C6KSV2	Q8IL48	0.7380952380952381	0.775691699604743	0.8968902513032735
287	Q76NN6	Q8I608	0.523809523809524	0.49209486166007904	0.9681962436913253
288	O00806	Q8ID28	0.2142857142857143	0.3320158102766798	0.8722329596168624
289	O97249	Q8IIA2	0.8095238095238096	0.5879446640316206	0.9404034621364727
290	Q8IBY4	Q8IKK7	0.5952380952380953	0.8814229249011858	0.9355002320805323
291	Q8ID28	Q8IKH3	0.9761904761904763	0.9802371541501977	0.9986519807791074
292	Q8I3T8	Q8ILL2	0.9047619047619048	0.8616600790513835	0.9841115814031933
293	Q8I3R0	Q8ID28	0.023809523809523815	0.4041501976284585	0.8887200297062416
294	Q8IAX5	Q8IIB4	0.8571428571428572	0.8962450592885376	0.9890004161744388
295	C0H5C2	Q8IIM8	-0.2142857142857143	0.48320158102766797	0.9293136523452086
296	Q8IAX5	Q8IEK3	-0.4523809523809524	0.22430830039525693	0.8328421535364379
297	C0H5I7	Q8IDG3	0.28571428571428575	0.42391304347826086	0.7347679096868314
298	Q8IBV7	Q8ILC1	-0.8333333333333335	-0.1373517786561265	0.36212726505752457
299	O96220	Q8IK90	0.4047619047619048	0.733201581027668	0.7161135149609721
300	Q8IAX5	Q8IKW5	0.9047619047619048	0.9071146245059288	0.9813522230435744
301	Q7KQL9	Q8IFP3	-0.3333333333333334	0.4891304347826087	0.7733165733173714
302	C0H551	Q8I2W4	0.19047619047619052	0.607707509881423	0.7487991177614918
303	Q76NN6	Q8I3A1	-0.5714285714285715	0.3804347826086957	0.9592687534231612
304	Q8IDB0	Q8IJV6	0.523809523809524	0.7430830039525691	0.9541175189518325
305	Q8I4U5	Q8IIA2	-0.11904761904761905	0.4061264822134388	0.8761327724256507
306	Q8IBV7	Q8IIF0	-0.4761904761904762	0.10968379446640317	0.3820308096766951
307	Q8IAX5	Q8IAX6	0.9523809523809524	0.9555335968379446	0.9924262051955888
308	Q8IE10	Q8IIA4	0.8095238095238096	0.6551383399209486	0.9060277954812108
309	C0H5H0	Q8IEK3	0.023809523809523815	0.46640316205533605	0.9645706953660761
310	C0H4C7	Q8IKC9	0.880952380952381	0.9179841897233202	0.9094156202065526
311	Q8IJC6	Q8ILK3	0.9523809523809524	0.8596837944664032	0.9722023324592028
312	Q8I323	Q8IAR6	0.9523809523809524	0.9288537549407114	0.9906408245234948
313	Q8I280	Q8IE84	0.4761904761904762	0.7391304347826088	0.9573699823490878
314	Q8II61	Q8IKH8	0.9285714285714287	0.9357707509881423	0.9902061175523995
315	C6KTA4	Q8IIU8	0.8571428571428572	0.9219367588932808	0.9876768773312312
316	Q8I0V2	Q8ILI2	-0.3333333333333334	0.25889328063241107	0.8836145900139918
317	Q8IIV1	Q8IIV2	0.5952380952380953	0.7924901185770751	0.9748448757458352
