Number	Proteins	avg_spearman	size	avg_spearman_random	significant	large
0	{'Q8IB24', 'Q8IBV7', 'Q8IKG9', 'Q8IET7', 'Q8I5L6', 'Q8IK89', 'O97285', 'Q8I0P6', 'Q8IKF0', 'C6KT18', 'Q8I5H4', 'Q8I0V2', 'Q8IIV2', 'C6KSV0', 'Q8IIV1', 'K7NTP5'}	0.37693511198945984	16	0.36611231884057976	True	True
1	{'Q7K6A9', 'Q8IJT1', 'Q8IKJ0', 'Q8IE84', 'A0A5K1K7U1', 'Q8I0U7', 'Q8IDG3', 'Q6ZMA8', 'Q8IK90', 'Q8IJN9', 'Q8IC01', 'Q8I280', 'Q8IDG2', 'Q8I2H3', 'Q8II43', 'Q8I2X4', 'Q8IAR3', 'Q8I261', 'Q8IEK1', 'O77396', 'C6KST3', 'Q8IBI3', 'C6KT34', 'Q76NM6'}	0.7384645128028872	24	0.365905940310477	True	True
2	{'Q8IFP3', 'Q8IIJ8', 'O97285', 'A0A143ZY58', 'Q8IKK7', 'O96252', 'Q8I0V2', 'Q76NM3', 'Q8I289', 'Q8IJW0', 'Q7KQL5', 'Q8IET7', 'Q8IB03', 'O97247', 'Q8IEC8', 'C6KSX4', 'Q8IKR1', 'C6KTA4', 'Q8I0P6', 'Q8IKF0', 'Q8IES0', 'Q8ILA1', 'Q8IIV8', 'O96153', 'K7NTP5', 'Q8I1V1'}	0.398491942839769	26	0.36878476740650656	True	True
3	{'Q8ILB6', 'Q76NN6', 'Q8IM55', 'Q8ILI6', 'Q8II61', 'Q8I2W3', 'Q8I5B6', 'Q8I608'}	0.49710615471485037	8	0.3821061547148503	True	True
4	{'A0A144A2H0', 'Q8II24', 'Q7KQM0', 'Q8IDZ8'}	0.9351119894598156	4	0.3463965744400528	True	True
5	{'Q8IEC8', 'Q8I2W2', 'Q8ILV6', 'Q8IDN6'}	0.6347167325428195	4	0.3430303030303032	True	True
6	{'Q7K6A9', 'Q8IJT1', 'Q8IKJ0', 'A0A5K1K7U1', 'Q8I0U7', 'Q8IDG3', 'Q6ZMA8', 'Q8IK90', 'Q8IJN9', 'Q8IC01', 'Q8IDG2', 'Q8II36', 'Q8II43', 'C0H5H0', 'O97227', 'Q8I2X4', 'Q8IAR3', 'Q8I261', 'Q8IEK1', 'O77396', 'C6KST3', 'Q8IBI3', 'C6KT34', 'Q76NM6'}	0.7216553531534629	24	0.3696569427736724	True	True
7	{'Q8IKC8', 'Q8IEU2', 'Q8IBN4', 'O77310', 'Q8I485', 'Q8ILZ1', 'Q8I484', 'Q8I4R5', 'Q8I395', 'Q8IAV1', 'C0H571'}	0.5522637441609775	11	0.37493065037729095	True	True
8	{'C6KT50', 'Q7KQL9', 'Q8IJN7'}	0.607707509881423	3	0.3855039525691698	True	True
9	{'Q8ILB6', 'Q8IEJ6', 'P61074', 'O97227', 'Q8I0X1'}	0.6785573122529645	5	0.3655998023715417	True	True
10	{'Q8I0V4', 'Q8IDZ8', 'A0A144A2H0', 'Q8IK89', 'Q8IKF0', 'C0H4V6', 'Q8II24', 'Q8IB24', 'Q8IC05'}	0.6380654369784806	9	0.3756793478260871	True	True
