Gene ID	source_id	scaled sense - 40-5 hours post-invasion - unique only	scaled sense - 2-10 hours post-invasion - unique only	scaled sense - 7-15 hours post-invasion - unique only	scaled sense - 12-20 hours post-invasion - unique only	scaled sense - 17-25 hours post-invasion - unique only	scaled sense - 22-30 hours post-invasion - unique only	scaled sense - 27-35 hours post-invasion - unique only	scaled sense - 32-40 hours post-invasion - unique only	Gene Name or Symbol	sense - T05 - unique only	sense - T10 - unique only	sense - T15 - unique only	sense - T20 - unique only	sense - T25 - unique only	sense - T30 - unique only	sense - T35 - unique only	sense - T40 - unique only	3D7 2020 sense - 0hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 8hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 16hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 24hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 32hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 40hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 48hr 3D7 DAFT-seq - unique only
PF3D7_0100100	PF3D7_0100100.1	32.27	6.52	3.73	5.9	40.07	47.25	65.53	232.48	VAR	18.85	7.12	4.69	7.4	8.64	6.11	8.96	27.53	17.06	25.51	19.93	13.46	17.01	25.62	23.97
PF3D7_0100200	PF3D7_0100200.1	16.41	10.43	13.72	11.04	17.07	23.34	39.32	247.23	RIF	6.53	3.15	4.49	3.29	1.65	2.8	6.03	17.66	0.3	2.25	6.25	2.5	1.3	1.17	1.61
PF3D7_0100300	PF3D7_0100300.1	0.08	0.32	0.2	0.26	0.9	1.88	0.89	0.37	VAR	0.14	0.36	0.35	0.06	0.05	0	0.05	0.54	1.86	5.23	3.34	0.62	0.22	0.24	2.02
PF3D7_0100400	PF3D7_0100400.1	1.02	0.57	0.73	0.31	0.46	2.01	7.16	51.55	RIF	2.27	0.51	0	0.21	0	0.19	1.73	1.94	0.53	0.6	3.45	1.29	0.77	0.63	0.41
PF3D7_0100500	PF3D7_0100500.1	0	0	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0	6.45	0	0	0	0	0	2.08	0
PF3D7_0100600	PF3D7_0100600.1	0	0.24	0	0.21	0	0	0	0	RIF	0	0	0	0	0	0	0	0.22	0.28	0.21	0.99	0.19	0	0.22	0.42
PF3D7_0100700	PF3D7_0100700.1	0	0	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0	1.18	0	0	0	0	0	0	0
PF3D7_0100800	PF3D7_0100800.1	0	0	0	0	0.5	0	0	0.71	RIF	0	0	0	0	0	0	0	0.7	0	0	0.21	0.2	0.21	0	0
PF3D7_0100900	PF3D7_0100900.1	0.16	0	0.15	0	0.49	4.27	0	0	RIF	0	0	0.8	0	0	0	0	1.14	0.28	0.42	1.83	0.98	1.02	0.22	0.87
PF3D7_0101000	PF3D7_0101000.1	0.15	0.36	0.6	0.21	1.43	0.7	0	0.69	RIF	0	0.26	0	0.43	0	0	0	0	0.27	0.83	0.4	0.57	0	0	0.43
PF3D7_0101100	PF3D7_0101100.1	0	0.14	0.52	0.12	0	0	0	0	EPF4	0	0	0	0	0	0	0	0	3.5	4.09	4.15	0.89	0.23	0.25	2.22
PF3D7_0101200	PF3D7_0101200.1	0	0.19	0	0	0	0	0	0	EPF3	0	0.41	0	0	0.3	0	0	0	2.14	0.32	1.24	0	0	0	0.67
PF3D7_0101300	PF3D7_0101300.1	0.13	0	0	0	0.42	1.22	1.44	0.6	MC-2TM	0.69	0	0.23	0.38	0.67	0	0.17	0.98	1.92	4.36	41.11	25.89	4.54	2.09	1.12
PF3D7_0101400	PF3D7_0101400.1	0	0	0	0	0	0	0	0	EPF1	0	0	0	0	0	0	0	0	0.36	0.27	1.04	0	0.26	0	0.56
PF3D7_0101500	PF3D7_0101500.1	0	0	0	0	0	0	0	0.45	VAR	0	0	0	0	0	0	0	0.15	0.18	0.27	0.39	0.13	0	0.14	0.14
PF3D7_0101600	PF3D7_0101600.1	0.15	0.92	1.17	0.73	0.93	0	3.21	2	RIF	0	0.51	0.25	0	0	0	0	1.74	0.8	0.81	3.87	1.12	0.2	1.47	1.45
PF3D7_0101700	PF3D7_0101700.1	0	0	0	0	0	0.55	0.65	0	VAR	0	0	0	0	0	0	0.16	0.18	0	0.33	0.32	0.15	0	0.34	0
PF3D7_0101800	PF3D7_0101800.1	0.38	0.15	0.75	0	0	0	0	0	N/A	0	0	0	0	0	0	0	0	1.03	1.29	0.49	0.71	0.25	0.27	1.32
PF3D7_0101900	PF3D7_0101900.1	0.48	3.73	1.26	1.35	1	0.73	0.86	0	RIF	0	1.38	0.27	0	0	0	0	2.33	0.86	2.82	2.7	0	0.42	1.13	1.78
PF3D7_0102000	PF3D7_0102000.1	0.43	0.17	0.86	0.15	0	0	0	0	N/A	0.74	1.88	1.1	1.23	0	0.85	0.57	7.62	1.95	1.76	0.57	1.36	0.28	0.92	1.82
PF3D7_0102100	PF3D7_0102100.1	0	1.06	0.38	0.68	3.04	7.09	3.16	2.62	N/A	0.33	0.34	0	0.28	0.97	1.01	0.51	5.69	0	0.26	1.01	0.49	0.26	0	0
PF3D7_0102200	PF3D7_0102200.1	25173.9	13579.34	4924.81	807.71	373.56	526.27	68.96	70.26	RESA	30462.24	20984.22	4894.14	506.88	99.29	26.24	15.57	178.81	7569.88	4554.05	1943.97	408.59	229.15	2310.43	6363.28
PF3D7_0102300	PF3D7_0102300.1	9.29	3	1.64	0.73	46.2	771.76	3665.5	2353.89	N/A	22.68	9.73	1.06	2.52	119.21	557.38	542.97	175.91	56.31	35.07	33.48	182.59	146.19	70.82	43.48
PF3D7_0102400	PF3D7_0102400.1	19.43	3.23	0.85	1.11	33.53	91.79	309.78	322.24	N/A	27.97	13.12	3.15	6.1	25.49	54.93	64.47	73.19	28.27	27	19.56	56.43	21.33	32.7	27.47
PF3D7_0102500	PF3D7_0102500.1	2292.72	452.05	94.66	21.48	19.3	42.89	43.05	108.3	EBA181	1259.97	523.75	68.99	8.06	2.62	4.99	6.13	85.28	1104.08	296.34	88.36	36.28	119.74	717.21	1336.53
PF3D7_0102600	PF3D7_0102600.1	4.32	5.76	10.31	40.7	253.83	120.85	131.39	52.74	FIKK1	15.52	15.4	41.4	154.56	83.18	46.97	23.19	10.54	23.55	79.69	177.47	65.99	17.57	16.83	21.55
PF3D7_0102700	PF3D7_0102700.1	132.54	65.38	42.04	12.24	29.69	44.12	71.92	37.35	MaTrA	206.27	200.8	64.23	27.42	19.77	22.56	13.78	11.88	129.18	75.93	34.93	21.39	16.51	47.69	77.32
PF3D7_0102800	PF3D7_0102800.1	3.09	0.4	0.45	1	21.1	107.22	410.1	426.68	N/A	9.13	1.8	1.54	2.68	24.18	76.89	76.85	45.64	19.14	11.02	9.72	30.5	31.45	19.92	14.19
PF3D7_0102900	PF3D7_0102900.1	30.76	87.19	178.75	250.48	1255.24	1672.48	2149.77	1292.72	N/A	48.95	148.61	309.26	441.42	543.01	471.15	328.83	139.65	86.7	183.78	249.19	309.87	155.99	102.68	92.31
PF3D7_0103000	PF3D7_0103000.1	12.59	1.96	1.75	1.64	7.58	53.08	232.31	487.4	N/A	24.81	6.46	2.21	2.39	8.02	22.59	37.68	89.62	18.28	15.71	12.27	17.82	44.4	36.17	28.98
PF3D7_0103100	PF3D7_0103100.1	5.81	1.34	0.97	1.73	24.11	57.42	169.92	305.21	VPS51	15.55	4.4	2.65	7.05	20.41	31.09	47.72	55.18	38.36	28.27	22.36	55.75	66.45	55.86	41.5
PF3D7_0103200	PF3D7_0103200.1	23.63	52.74	164.47	211.51	1666.86	2895.34	5139.54	2445.11	NT4	45.17	83.96	238.45	497.68	855.91	904.02	718.94	232	93.38	179.45	208.32	341.81	153.53	114.52	98.15
PF3D7_0103300	PF3D7_0103300.1	85.08	59.73	89.13	96.05	275.78	328.89	553.26	586.65	N/A	86.92	97.75	128.83	127.85	105.75	103.33	92.88	77.04	112.46	122.27	107.67	103.21	87.51	80.79	92.15
PF3D7_0103400	PF3D7_0103400.1	251.1	47.54	18.96	28.03	422.42	811.76	1371.44	1004.61	N/A	256.56	133.57	29.51	84.35	228.64	244.63	201.63	137.27	324.4	186.51	239.57	305.92	290.19	321.52	374.84
PF3D7_0103500	PF3D7_0103500.1	8.88	2.03	1.03	1.87	8	68.77	194.17	101.06	N/A	13.76	5.21	1.72	3.9	11.82	31.02	33.57	16.52	42.78	39.09	34.91	60.48	44.69	36.14	36.01
PF3D7_0103600	PF3D7_0103600.1	19.42	7.38	16.24	29.76	306.2	450.69	799.86	502.01	PSH1	26.29	15.58	24.12	73.02	157.02	146.05	127.49	65.47	104.8	85.3	144.15	172.79	177.03	107.67	94.41
PF3D7_0103700	PF3D7_0103700.1	9.56	16.11	33.85	32.36	146.84	198.11	372.09	352.89	PSTK	20.02	39.51	65.02	82.79	68.15	71.99	71.64	47.76	66.6	83.12	75.31	80.58	61.79	52.3	56.11
PF3D7_0103800	PF3D7_0103800.1	20.74	9.25	3.91	3.07	7.3	13.86	64.7	331.69	ARP1	7.84	7.03	4.99	2.74	2.78	3.44	6.48	30.43	13.32	16	17.45	14.15	28.95	41.53	33.5
PF3D7_0103900	PF3D7_0103900.1	5.94	2.58	9.37	21.26	177.66	390.06	924.02	814.39	PIESP15	12.35	5.96	17.82	53.9	98.07	155.21	149.92	79.65	48.67	57.05	66.71	140.77	98.36	57.83	44.47
PF3D7_0104000	PF3D7_0104000.1	2.66	0.26	0	0	8.38	0	36.18	43.59	TRSP	1.15	0	0.57	0	0.83	3.05	3.93	8.81	5.42	0.91	1.31	3.79	8.75	7.6	2.34
PF3D7_0104100	PF3D7_0104100.1	29.38	3.12	0.94	0.35	0.96	2.26	97.03	893.17	N/A	28.85	5.56	1.23	0.33	0.33	1.99	27.74	87.39	30.44	10.28	4.63	12.01	49.25	60.42	32.26
PF3D7_0104200	PF3D7_0104200.1	1591.5	405.11	83.49	46.82	488.68	935.45	1458.76	1639.22	N/A	1473.45	634.91	74.85	99.39	217.91	219.2	226.56	308.3	667.23	209.1	173.3	222.78	307.43	554.69	764.71
PF3D7_0104300	PF3D7_0104300.1	1140.66	531.22	384.36	241.91	644.88	719.65	1007.03	837.47	UBP1	1268.7	1034.06	485.89	280.21	229.13	165.37	148.47	116.53	1673.91	733.98	548.36	315.15	306.72	553.31	1166.39
PF3D7_0104400	PF3D7_0104400.1	57.93	19.66	15.38	15.3	180.46	385.21	963.37	945.72	LytB	75.92	48.93	21.6	37.27	78.04	124.55	141.46	102.78	104.91	74.17	80.8	98.42	108.15	98.55	112.81
PF3D7_0104500	PF3D7_0104500.1	7.48	41.1	113.91	146.16	732.26	1159.59	1602.63	492.39	N/A	11.81	82.92	224.13	357.67	467.77	422.67	248.12	58.82	69	128.22	162.01	201.72	79.04	50.77	55.49
PF3D7_0104600	PF3D7_0104600.1	1.17	3.48	6.85	8.25	53.22	83.7	118.87	59.83	N/A	1.96	5.88	12.08	19.27	23.15	27.93	11.45	9.77	35.18	37.18	34.91	43.67	28.14	24.19	25.36
PF3D7_0104700	PF3D7_0104700.1	0.08	0.18	0.08	0	2.17	1.76	7.08	4.5	MFR2	0.13	0.8	1.05	0.88	1.25	1.41	0.6	4.51	2.08	2.73	1.31	2.23	0.2	1.97	2.36
PF3D7_0104800	PF3D7_0104800.1	62.42	8.24	3.09	0.37	35.6	182.49	525.55	472.26	NPT1	89.47	24.67	2.82	1.14	37.68	75.35	99	91.43	55.69	21.89	14.31	71.79	63.64	86.38	66.51
PF3D7_0104900	PF3D7_0104900.1	52.53	32.06	45.41	17.29	80.27	221.58	485.43	508.99	N/A	155.11	165.74	112.46	98.11	99.34	126.76	148.45	84.47	222.16	215.2	148.4	236.67	78.26	89.66	105.11
PF3D7_0105000	PF3D7_0105000.1	362.5	243.68	263.17	193.28	663.34	1593.11	2931.45	2334.94	N/A	968.01	912.6	665.3	579.22	744.86	1001.12	762.39	512.45	50.21	47.48	54.62	52.68	37.22	48.94	43.14
PF3D7_0105100	PF3D7_0105100.1	1.9	0.85	0.81	0.48	7.71	98.58	512.35	559.22	N/A	8.94	1.9	0.46	0.97	14.52	73.17	103.23	68.14	21.44	12.29	6.43	40.13	30.81	18.89	13.18
PF3D7_0105200	PF3D7_0105200.1	42.34	4.19	2.69	19.5	421.9	746.86	1168.8	872.92	RAP1	56.28	12.28	5.9	63.8	220.22	242.41	159.49	96.82	100.39	107.56	131.08	257.87	135.64	123.69	104.59
PF3D7_0105300	PF3D7_0105300.1	419.39	38.94	15.73	4.73	8.16	58.17	685.09	2979.48	CAP	765.8	176.25	21.9	3.52	5.82	51.71	220.22	1085.73	306.34	105.81	64.96	95	304.26	501.11	339.2
PF3D7_0105400	PF3D7_0105400.1	239.02	13.44	6.36	2.41	6	11.23	17.03	772.08	N/A	283.63	72.84	9.76	1.75	3.76	4.46	6.07	302.22	78.83	30.16	14.1	13.78	52.13	154.95	116.46
PF3D7_0105400	PF3D7_0105400.2	239.02	13.44	6.36	2.41	6	11.23	17.03	772.08	N/A	283.63	72.84	9.76	1.75	3.76	4.46	6.07	302.22	78.83	30.16	14.1	13.78	52.13	154.95	116.46
PF3D7_0105500	PF3D7_0105500.1	1.26	0.25	0	0.89	28.37	124.63	267.42	186.48	N/A	3.82	3.03	0.54	5.21	24.6	63.63	53.51	30.26	10.88	8.88	10.99	29.39	19.16	14.92	9.76
PF3D7_0105600	PF3D7_0105600.1	10.77	13.44	35.93	45.16	142.04	245.95	408.25	247.4	N/A	10.52	14.11	38.17	47.27	52.71	60.47	49.95	29.44	63.19	95.39	100.32	118.41	94.17	61.72	61.5
PF3D7_0105700	PF3D7_0105700.1	10.99	4.88	3.93	3.24	25.58	165.03	554.01	462.66	N/A	26.44	12.61	8.27	4.96	27.45	73.08	99.28	65.58	111.68	119.02	96.47	145.18	161.33	139.74	135.83
PF3D7_0105800	PF3D7_0105800.1	72.59	7.94	4.42	1.89	16.37	143.5	751.22	1335.07	N/A	123.41	34.21	5.47	2.21	21.75	101.9	171.32	261.36	131.76	93.69	59.93	143.88	176.83	219.55	158.47
PF3D7_0105900	PF3D7_0105900.1	21.99	3.59	2.24	0.99	28.99	141.72	471.35	579.89	N/A	36.88	10.52	2.19	1.92	30.08	84.27	89.45	90.14	83.44	60.9	53.5	93.23	98.2	96.83	87.1
PF3D7_0106000	PF3D7_0106000.1	82.04	6.54	1.94	0.76	14.23	80.29	404.43	968.35	N/A	136.6	32.56	3.82	2.2	13.27	48.44	89	248.37	117.81	51.44	29.45	81.24	135.33	199.37	119.49
PF3D7_0106100	PF3D7_0106100.1	30.3	18.93	56.97	56.06	275.93	381.68	832.93	891.72	N/A	52.86	48.38	100.49	140.74	142.26	165.85	164.27	134.49	109.04	173.76	179.29	282.41	141.25	173.23	136.93
PF3D7_0106200	PF3D7_0106200.1	14.9	2.4	2.67	0.69	4.23	25.22	150.99	486.9	N/A	32.96	11.72	5.43	3.33	3.38	18.92	38.18	95.42	25.9	11.19	6.25	13.31	35.25	38.49	21.95
PF3D7_0106300	PF3D7_0106300.1	156.25	222.29	290.53	252.67	791.01	1324.27	2829.33	4205.76	ATP6	163.44	251.92	250.47	227.82	234.9	271.87	375.99	396.73	252.59	364.6	353.01	396.53	432.83	388.93	302.35
PF3D7_0106400	PF3D7_0106400.1	26.47	111.91	238.33	226.39	777.6	802.61	667.94	241.17	N/A	78.46	287.96	441.91	574.22	485.65	290.51	106.41	44.74	104.59	198.74	253.27	188.94	64.38	57.64	90.95
PF3D7_0106500	PF3D7_0106500.1	4.81	1.07	1.19	0.77	2.1	21.59	190.08	392.62	N/A	12.7	4.6	3.66	1.66	2.69	19.31	47.28	57.82	47.03	31.69	26.19	45.33	76.04	65.18	46.89
PF3D7_0106600	PF3D7_0106600.1	12.35	2.42	2.71	1.03	0	1.67	0.99	12.32	N/A	19.47	9.19	3.41	1.04	0.68	0.72	3.58	18.47	14.49	6.21	4.05	2.3	5.98	10.39	7.89
PF3D7_0106700	PF3D7_0106700.1	90.48	129.32	174.46	202.26	721.93	873.8	1008.42	521.17	AARP2	153.9	234.05	304.55	328.72	348.06	250.6	168.94	91.28	166.41	283.26	261.82	252.91	168.93	130.87	162.75
PF3D7_0106800	PF3D7_0106800.1	30.49	4.41	3.68	12.06	136.23	385.85	1128.56	2026.85	RAB5c	33.54	10.33	4.05	11.25	46.87	82	161.19	171.29	33.51	34.46	37.12	82.32	148.43	117.01	83.79
PF3D7_0106900	PF3D7_0106900.1	17.48	4.43	2.37	2	29.64	134.81	634.78	805.81	IspD	58.09	14.1	4.07	4.36	35.17	107.63	174.84	192.94	120.73	60.85	63.19	108.15	181.81	120.73	95.08
PF3D7_0107000	PF3D7_0107000.1	41.86	14.91	7.69	7.11	92.98	505.41	2492.37	4609.48	CEN1	63.86	18.6	6.6	10.41	72.98	223.85	365.62	394.58	101.65	130.13	105.25	221.71	252.96	226.09	157.93
PF3D7_0107100	PF3D7_0107100.1	1.37	1.37	0.64	0.91	30.04	141.33	256.55	155.94	N/A	2.54	1.44	0.31	2.89	23.38	39.7	31.54	14.19	25.93	23.72	38.87	72.47	60.85	32.02	32.56
PF3D7_0107200	PF3D7_0107200.1	1	0.2	0.5	0.27	30.44	99.57	261.59	132.8	CCR4-3	1.74	1.31	0	2.34	25.22	42.97	29.49	11.46	17.28	27.14	20.91	46.88	24.14	20.12	19.74
PF3D7_0107300	PF3D7_0107300.1	7.13	1.3	1.13	1.03	0.65	6.64	32.65	68.76	N/A	3.4	1.98	2.12	1.63	1.56	5.97	4.48	8.84	18.74	28.61	18.32	20.03	12.8	14.94	24.67
PF3D7_0107400	PF3D7_0107400.1	6.34	1.56	2.45	1.27	7.45	108.5	470.73	558.03	ATPk	7.85	2.97	1.94	0.95	9.27	46.8	60.5	41.4	60.16	42.09	39.61	56.92	75.01	59.46	55.25
PF3D7_0107500	PF3D7_0107500.1	733.98	489.64	480.12	480.75	1163	1386.07	1557	865.13	NCR1	985.71	950.06	735.02	652.68	480.64	343.2	229.09	124.31	752.13	565.63	436.97	387.01	263.24	324.36	596.42
PF3D7_0107600	PF3D7_0107600.1	2.52	1.55	1.63	0.85	3.7	3.42	11.55	15.56	eIK2	5.06	5.15	3.18	1.77	1.22	2.45	2.37	6.59	30.9	28.58	25.02	16.45	15.79	14.49	24.04
PF3D7_0107700	PF3D7_0107700.1	4.39	1.34	1.21	0.43	33.8	131.43	389.56	336.93	N/A	9.06	4.04	2.92	2.27	30.93	62.23	59.71	33.95	22.97	18.71	12	23	19.91	19.04	15.58
PF3D7_0107800	PF3D7_0107800.1	6.35	2	1.95	10.44	127.37	244.45	649.56	696.68	MRE11	11.63	3.93	9.22	41.46	88.01	122.49	127.23	78.08	46.94	49.49	51.07	136.43	101.94	58.83	40.77
PF3D7_0107900	PF3D7_0107900.1	6.11	4.92	35.08	85.57	382.72	548.63	936.03	634.54	N/A	14.91	12.03	78.74	240.08	227.6	197.86	191.61	95.16	45.44	90.59	113.34	152.69	64.47	47.37	43.56
PF3D7_0108000	PF3D7_0108000.1	99.94	85.25	129.84	190.05	962.42	2067.67	5392.29	7331.38	N/A	98.55	84.46	151.63	251.89	345.33	483.55	686.49	664.15	132.56	177.53	258.61	335.19	439.33	330.87	238.17
PF3D7_0108100	PF3D7_0108100.1	3.94	1.49	2.25	1.91	21.17	74.06	232.23	333.06	N/A	7.2	1.78	1.37	3.45	12.02	20.8	38.08	30.57	39.83	37.79	36.91	62.08	62.73	61.41	46.27
PF3D7_0108300	PF3D7_0108300.1	514.63	492.19	544.39	588.04	2011.36	2283.89	3128.36	2391.67	ARP	668.98	852.14	759.03	777.48	743.37	530.82	454.91	320.54	777.62	803.91	749.4	679.95	499.72	458.83	598.34
PF3D7_0108400	PF3D7_0108400.1	61.37	45.82	49.24	53.19	227.49	265.82	371.8	310.17	N/A	93.92	87.93	63.93	84.46	72.78	64.12	49.49	30.78	77.99	82.59	63.89	49.12	27.63	39.53	57.62
PF3D7_0108400	PF3D7_0108400.2	61.37	45.82	49.24	53.19	227.49	265.82	371.8	310.17	N/A	93.92	87.93	63.93	84.46	72.78	64.12	49.49	30.78	77.99	82.59	63.89	49.12	27.63	39.53	57.62
PF3D7_0108500	PF3D7_0108500.1	6332.63	4885.2	3096.63	1437.4	1302.47	993.49	877.1	428.37	N/A	3490.25	3246.9	1638.12	470.88	138.24	70.43	46.71	43.93	1799.52	1345.4	663.06	169.25	119.45	488.99	1545.56
PF3D7_0108600	PF3D7_0108600.1	4.04	1.2	2.35	0.97	9.6	81.12	344.36	311.3	N/A	9.62	6.12	5.86	6.22	11.3	50.31	70.25	42.23	115.02	85.08	50.92	54.06	48.09	51.6	92.33
PF3D7_0108700	PF3D7_0108700.1	42.62	71.17	136.56	169.23	443.63	647.54	1484.06	2132.34	PSOP24	78.53	120.69	209.6	233.8	203.88	199.51	318.68	291.56	231.91	268.76	301.81	295.07	381.75	265.94	224.72
PF3D7_0108800	PF3D7_0108800.1	16.71	4.76	10.67	18.72	123.44	194.36	738.45	752.48	N/A	24.33	15.46	18.99	43.77	51.17	100.07	109.22	75.6	53.38	54.91	43.57	70.38	69.63	47.74	42
PF3D7_0108900	PF3D7_0108900.1	759.64	101.53	39.03	6.37	10.3	15	2.97	141.73	N/A	1207.1	422.08	58.19	13.27	6.5	2.5	0.36	123.26	839.15	181.31	99.42	36.91	85.37	420.04	499.45
PF3D7_0109000	PF3D7_0109000.1	2412.82	359.63	66.41	24.26	23.85	49.81	25.81	295.37	PHIL1	1509.6	508.61	64.28	14.68	5.09	7.22	5.72	154.47	512.18	158.6	61.72	35.94	99.19	471.46	646.19
PF3D7_0109100	PF3D7_0109100.1	120.91	15.55	5.97	3.73	7.9	6.6	10.07	20.84	CCp5	77.16	25.61	9.42	4.42	2.74	1.94	1.62	8.48	67.5	35.09	17.11	13.02	15.65	44.57	75.16
PF3D7_0109200	PF3D7_0109200.1	5.72	3.72	8.15	12.44	103.82	166.56	400.13	441.81	CFIM25	12.8	7.92	18.71	41	69.15	91.92	80.71	68.91	18.77	21.76	28.87	54.73	44.69	36.6	23.13
PF3D7_0109300	PF3D7_0109300.1	7.26	4.56	4.81	4.25	19.82	88.36	491.61	409.8	N/A	6.69	3.71	3.64	2.08	7.29	52.58	53.38	40.36	99.61	64.81	41.79	51.25	41.15	54.17	57.08
PF3D7_0109400	PF3D7_0109400.1	28.93	15.72	15.37	40.23	555.11	1298.99	1737.85	699.23	N/A	31.28	26.95	27.4	65.29	197.98	217.73	127.23	56.62	114.77	147.39	135.25	208.3	103.55	95.16	100.9
PF3D7_0109500	PF3D7_0109500.1	39.53	77.86	157.37	249.8	646.01	879.39	1456.28	1374.69	N/A	20.47	39.11	106.52	135.89	108.05	107.76	89.97	78.5	44.48	94.67	125.97	103.69	126.76	69.24	73.91
PF3D7_0109600	PF3D7_0109600.1	15.97	20.49	29.96	45.91	251.72	525.82	771.18	250.2	CoSP	13.82	31.09	40.95	52.4	75.66	104.84	48.82	28.07	56.78	63.94	72.19	77.8	61.94	49.7	57.77
PF3D7_0109700	PF3D7_0109700.1	88.23	188.13	343.39	279.9	755.53	599.18	850.41	565.18	RRP36	246.29	646.18	895.82	753.88	492.34	277.53	234.23	146.93	238.22	204.5	237.67	124.1	91.94	85.82	123.08
PF3D7_0109800	PF3D7_0109800.1	30.64	83.66	127.02	134.16	361.77	442.21	851.12	884.49	cPheRS	54.46	126.76	180.63	183.65	146.27	134.55	147.62	101.25	160.07	271.31	194.46	250.8	174.04	119.19	127.19
PF3D7_0109850	PF3D7_0109850.1	14.5	1.68	0.98	0.29	2.08	23.45	348.26	1048.99	N/A	25.52	7.19	0.85	0.59	1.45	18.72	73.94	117.23	23.44	12.87	7.14	23.6	70.26	67.85	33.9
PF3D7_0109950	PF3D7_0109950.1	10.46	2.22	4.99	10.96	112.63	266.99	702.47	980.05	C2AP3	24.88	6.46	17.13	43.1	83.51	131.86	174.31	145.82	47.82	66.53	41.48	106.54	51.96	49.61	30.59
PF3D7_0110000	PF3D7_0110000.1	64.39	58.6	51.71	57.88	246.99	616.2	1032.42	924.34	N/A	47.32	56.7	50.64	50.34	93.67	106.32	106.71	70.26	111.74	153.47	211.58	176.96	201.54	161.49	215.89
PF3D7_0110100	PF3D7_0110100.1	3.72	10.65	23.96	36	127.09	218.24	400.87	277.05	SELB	5.74	17.55	51.14	61.42	60.07	69.71	63.57	33.37	33.21	56.32	52.3	70.35	49.75	31.01	33.87
PF3D7_0110200	PF3D7_0110200.1	8.18	10.08	30.07	45.57	274.6	445.47	945.49	953.68	ERV1	17.42	19.55	48.85	88.25	134.79	158.66	143.06	101.89	50.87	66.58	106.13	95.86	57.73	36.6	31.83
PF3D7_0110300	PF3D7_0110300.1	13.07	20.52	31.94	25.68	164.82	147.27	310.67	371.08	N/A	24.67	68.44	90.4	132.88	63.47	56.95	51.52	41.17	68.93	45.57	48.38	30.89	61.15	40.83	45.88
PF3D7_0110400	PF3D7_0110400.1	103.86	241.8	441.1	420.23	1306.24	1650.27	2898.26	2469.4	RPB9	173.01	471.85	693.12	663.42	492.25	436.71	457.2	270.52	170.46	281.34	301.87	229.05	213.36	150.69	171.5
PF3D7_0110500	PF3D7_0110500.1	36.36	24.18	54.37	94.67	438.69	751.02	1233.47	681.68	BDP3	59.04	48.72	90.83	164.44	206.71	202.47	182.89	98.14	155.05	182.86	262.97	302.36	267.21	185.79	189.58
PF3D7_0110600	PF3D7_0110600.1	282.89	216.8	244.99	211.28	536.26	674.84	1167.4	1250.69	PIP5K	301.36	302.86	260.25	215.39	167.31	151.59	168.69	139.19	403.14	440.1	375.57	305.84	286.01	281.15	395.43
PF3D7_0110700	PF3D7_0110700.1	50.95	20.22	16.24	19.58	234.31	1017.6	2504.83	1003.73	CAF1C	55.01	28.84	20.63	30.49	132.49	338.67	222.16	71.42	132.26	115.62	117.06	201.33	156.95	112.07	136.03
PF3D7_0110800	PF3D7_0110800.1	254.4	164.17	166.39	195.31	1011.54	1544.02	2183.03	1096.17	N/A	213.74	205.81	181.64	214.57	317.16	290.18	194.84	80.7	198.73	262.38	256.8	238.32	155.27	167.27	216.78
PF3D7_0110900	PF3D7_0110900.1	1.75	9.07	36.91	76.82	447.72	572.96	614.04	187.3	AKLP1	5.11	18.76	91.88	180.69	192.01	172.71	80.15	26.15	26.55	41.99	62.82	76.94	29.92	18.1	18.29
PF3D7_0111000	PF3D7_0111000.1	23.55	4.51	2.17	1.51	9.13	75.43	267.91	405.98	N/A	51.49	14.48	5.03	3.22	10.75	44.68	61.88	75.8	67.82	55.21	36.01	63.83	95.43	100.15	88.54
PF3D7_0111200	PF3D7_0111200.1	3.97	1.04	1.05	0.19	26.67	109.22	360.01	357.77	N/A	10.98	1.85	1.36	4.55	25.92	44.43	84.06	53.79	25.86	21.74	13.88	41.2	24.38	23.48	13.74
PF3D7_0111300	PF3D7_0111300.1	16.8	3.15	2.37	2.8	135.8	399.29	1367.47	1558.47	N/A	53.96	14.12	3.75	18.37	132.46	239.01	313.09	283.28	88.45	58.09	72.47	188.93	223.69	145.89	93.26
PF3D7_0111400	PF3D7_0111400.1	11.58	2.33	2.85	2.54	104.63	288.7	912.27	1071.66	GEXP19	30.93	12.52	5.78	14.25	96.04	160.12	222.88	179.65	52.93	44.27	49.71	97.74	109	87.81	58.99
PF3D7_0111500	PF3D7_0111500.1	236.62	19.63	11.8	9.21	172.01	690.32	1645.79	1964.59	N/A	223.79	64.07	14.16	22.77	107.07	207.54	223.95	384.42	82.91	44.46	41.42	94.65	138.83	208.02	140.37
PF3D7_0111600	PF3D7_0111600.1	7.17	13.36	57.38	94.39	354.99	429.83	839.52	694.86	N/A	5.68	9.65	52.34	72.8	69.26	75.3	63.97	38.09	72.28	98.63	138.45	149.69	122.23	82.59	67.32
