Gene ID	source_id	scaled sense - 40-5 hours post-invasion - unique only	scaled sense - 2-10 hours post-invasion - unique only	scaled sense - 7-15 hours post-invasion - unique only	scaled sense - 12-20 hours post-invasion - unique only	scaled sense - 17-25 hours post-invasion - unique only	scaled sense - 22-30 hours post-invasion - unique only	scaled sense - 27-35 hours post-invasion - unique only	scaled sense - 32-40 hours post-invasion - unique only	Gene Name or Symbol	sense - T05 - unique only	sense - T10 - unique only	sense - T15 - unique only	sense - T20 - unique only	sense - T25 - unique only	sense - T30 - unique only	sense - T35 - unique only	sense - T40 - unique only	3D7 2020 sense - 0hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 8hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 16hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 24hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 32hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 40hr 3D7 DAFT-seq - unique only	3D7 2020 sense - 48hr 3D7 DAFT-seq - unique only
PF3D7_1138200	PF3D7_1138200.1	22.57	22.65	14.47	4.15	9.58	12.95	56.73	414.42	N/A	9.01	14.39	6.31	1.56	2.73	3.13	9.41	52.79	10.22	10.99	5.13	5.78	16.58	22.39	15.85
PF3D7_1138300	PF3D7_1138300.1	9.87	1.07	0.68	1.81	52.58	315.61	829.69	441.37	N/A	7.36	4.46	1.16	3.66	25.88	61.45	58.14	28.61	22.53	15.85	17.44	52.42	39.45	29.76	25.11
PF3D7_1138350	PF3D7_1138350.1	9.37	2.3	4.08	0.41	92.31	284.93	1084.53	678.51	N/A	34.45	14.31	9.01	15.95	103.04	216.83	200.82	89.8	19.12	31.3	42.3	69.02	29.31	73.81	35.4
PF3D7_1138400	PF3D7_1138400.1	25.29	2.73	1.36	0.8	1.59	9.2	136.85	806.19	GCalpha	46.94	11.17	2.32	0.86	1.13	6.68	48.33	154.58	76.47	55.11	30.62	48.23	122.08	171.21	96.97
PF3D7_1138500	PF3D7_1138500.1	270	265.54	337.29	269.7	697.95	952.13	1914.04	2779.99	PPM2	514.34	700.65	658.07	542.56	408.26	397.03	556.2	677.08	460.6	581.94	434.54	524.21	438.19	569.41	466.44
PF3D7_1138600	PF3D7_1138600.1	38.04	78.22	113.81	68.91	230	418.62	902.94	843.03	N/A	43.94	110.59	124.4	107	107.98	154.69	132.53	85.81	94.98	109.14	74.15	103.3	81.26	53.74	52.31
PF3D7_1138700	PF3D7_1138700.1	303.9	162.18	169.96	99.2	225.72	218.33	278.56	215.04	KIC5	358.76	395.14	242.16	155.98	94.87	69.86	55.55	46.25	522.03	266.89	179.88	112.01	94.65	199.65	349.67
PF3D7_1138800	PF3D7_1138800.1	32.43	65.19	105.84	99.1	265.45	327.4	573.47	680.88	N/A	67.68	133.55	176.93	155.77	129.49	100.88	131.73	115.38	210.93	264.15	235.84	208.92	214.19	160.73	169.7
PF3D7_1138900	PF3D7_1138900.1	13.03	2.67	2.32	4.69	14.56	25.89	82.64	156.04	N/A	18.68	6.11	3.74	8.44	7.52	14.43	14.06	36.42	23.46	10.59	9.19	13.31	12.43	13.93	13.32
PF3D7_1139100	PF3D7_1139100.1	17.99	38.19	62.94	52.14	117.57	143.9	230.74	161.79	N/A	31.45	74.47	89.32	74.96	52.26	52.76	33.63	32.38	90.24	137.81	80.13	85.29	55.07	39.6	50.19
